K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,A,3,7,E, ,F,I,R,S,T, ,F,L,O,O,R,
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,53,224.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,81,988.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,18,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,11,163.349974990527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.5998774509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4499591503268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5199979195922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,E,1,8, ,F,I,R,S,T, ,F,L,O,O,R,,
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,35,148.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,59,719.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,13,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,8,118.799974882261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,6,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6025521319639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.449942940139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5198592257416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,A,3,7,D,1, ,F,I,R,S,T, ,F,L,O,O,R
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,51,216.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,80,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,26,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,12,178.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6000421674046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4500433387214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5200931857892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,B,4,4,E, ,F,I,R,S,T, ,F,L,O,O,R,
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,72,304.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,106,1293.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,34,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,16,237.600025634179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,11,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
